10.75,-5.375,4.875
10.875,-5.5,4.875
10.875,-6,4.375
10.875,-6.375,4
10.875,-6.875,3.5
10.75,-6.875,3.375
10.75,-7.25,3
10.625,-7.25,2.875
10.625,-7.625,2.5
10.5,-7.625,2.375
10.5,-8,2
10.375,-8,1.875
10.375,-8.375,1.5
10.125,-8.375,1.25
10.125,-8.625,1
10,-8.625,0.875
10,-9,0.5
9.75,-9,0.25
9.75,-9.25,0
9.5,-9.25,-0.25
9.5,-9.5,-0.5
9.25,-9.5,-0.75
9.25,-9.75,-1
9,-9.75,-1.25
9,-10,-1.5
8.625,-10,-1.875
8.625,-10.125,-2
8.375,-10.125,-2.25
8.375,-10.375,-2.5
8,-10.375,-2.875
8,-10.5,-3
7.625,-10.5,-3.375
7.625,-10.625,-3.5
7.25,-10.625,-3.875
7.25,-10.75,-4
6.875,-10.75,-4.375
6.875,-10.875,-4.5
6.375,-10.875,-5
6,-10.875,-5.375
5.5,-10.875,-5.875
5.375,-10.75,-5.875
5,-10.75,-6.25
4.875,-10.625,-6.25
4.5,-10.625,-6.625
4.375,-10.5,-6.625
4,-10.5,-7
3.875,-10.375,-7
3.5,-10.375,-7.375
3.25,-10.125,-7.375
3,-10.125,-7.625
2.875,-10,-7.625
2.5,-10,-8
2.25,-9.75,-8
2,-9.75,-8.25
1.75,-9.5,-8.25
1.5,-9.5,-8.5
1.25,-9.25,-8.5
1,-9.25,-8.75
0.75,-9,-8.75
0.5,-9,-9
0.125,-8.625,-9
0,-8.625,-9.125
-0.25,-8.375,-9.125
-0.5,-8.375,-9.375
-0.875,-8,-9.375
-1,-8,-9.5
-1.375,-7.625,-9.5
-1.5,-7.625,-9.625
-1.875,-7.25,-9.625
-2,-7.25,-9.75
-2.375,-6.875,-9.75
-2.5,-6.875,-9.875
-3,-6.375,-9.875
-3.375,-6,-9.875
-3.875,-5.5,-9.875
-3.875,-5.375,-9.75
-4.25,-5,-9.75
-4.25,-4.875,-9.625
-4.625,-4.5,-9.625
-4.625,-4.375,-9.5
-5,-4,-9.5
-5,-3.875,-9.375
-5.375,-3.5,-9.375
-5.375,-3.25,-9.125
-5.625,-3,-9.125
-5.625,-2.875,-9
-6,-2.5,-9
-6,-2.25,-8.75
-6.25,-2,-8.75
-6.25,-1.75,-8.5
-6.5,-1.5,-8.5
-6.5,-1.25,-8.25
-6.75,-1,-8.25
-6.75,-0.75,-8
-7,-0.5,-8
-7,-0.125,-7.625
-7.125,0,-7.625
-7.125,0.25,-7.375
-7.375,0.5,-7.375
-7.375,0.875,-7
-7.5,1,-7
-7.5,1.375,-6.625
-7.625,1.5,-6.625
-7.625,1.875,-6.25
-7.75,2,-6.25
-7.75,2.375,-5.875
-7.875,2.5,-5.875
-7.875,3,-5.375
-7.875,3.375,-5
-7.875,3.875,-4.5
-7.75,3.875,-4.375
-7.75,4.25,-4
-7.625,4.25,-3.875
-7.625,4.625,-3.5
-7.5,4.625,-3.375
-7.5,5,-3
-7.375,5,-2.875
-7.375,5.375,-2.5
-7.125,5.375,-2.25
-7.125,5.625,-2
-7,5.625,-1.875
-7,6,-1.5
-6.75,6,-1.25
-6.75,6.25,-1
-6.5,6.25,-0.75
-6.5,6.5,-0.5
-6.25,6.5,-0.25
-6.25,6.75,0
-6,6.75,0.25
-6,7,0.5
-5.625,7,0.875
-5.625,7.125,1
-5.375,7.125,1.25
-5.375,7.375,1.5
-5,7.375,1.875
-5,7.5,2
-4.625,7.5,2.375
-4.625,7.625,2.5
-4.25,7.625,2.875
-4.25,7.75,3
-3.875,7.75,3.375
-3.875,7.875,3.5
-3.375,7.875,4
-3,7.875,4.375
-2.5,7.875,4.875
-2.375,7.75,4.875
-2,7.75,5.25
-1.875,7.625,5.25
-1.5,7.625,5.625
-1.375,7.5,5.625
-1,7.5,6
-0.875,7.375,6
-0.5,7.375,6.375
-0.25,7.125,6.375
0,7.125,6.625
0.125,7,6.625
0.5,7,7
0.75,6.75,7
1,6.75,7.25
1.25,6.5,7.25
1.5,6.5,7.5
1.75,6.25,7.5
2,6.25,7.75
2.25,6,7.75
2.5,6,8
2.875,5.625,8
3,5.625,8.125
3.25,5.375,8.125
3.5,5.375,8.375
3.875,5,8.375
4,5,8.5
4.375,4.625,8.5
4.5,4.625,8.625
4.875,4.25,8.625
5,4.25,8.75
5.375,3.875,8.75
5.5,3.875,8.875
6,3.375,8.875
6.375,3,8.875
6.875,2.5,8.875
6.875,2.375,8.75
7.25,2,8.75
7.25,1.875,8.625
7.625,1.5,8.625
7.625,1.375,8.5
8,1,8.5
8,0.875,8.375
8.375,0.5,8.375
8.375,0.25,8.125
8.625,0,8.125
8.625,-0.125,8
9,-0.5,8
9,-0.75,7.75
9.25,-1,7.75
9.25,-1.25,7.5
9.5,-1.5,7.5
9.5,-1.75,7.25
9.75,-2,7.25
9.75,-2.25,7
10,-2.5,7
10,-2.875,6.625
10.125,-3,6.625
10.125,-3.25,6.375
10.375,-3.5,6.375
10.375,-3.875,6
10.5,-4,6
10.5,-4.375,5.625
10.625,-4.5,5.625
10.625,-4.875,5.25
10.75,-5,5.25
